,acceleration,altitude,sr_list,time,z_velocity
0,1.0634765625,-0.19803280796705408,0.0,6.413459777832031e-05,0.0
1,1.061279296875,-0.40111619220923017,0.021358251571655273,0.021422386169433594,-0.15847378983000796
2,1.060302734375,-0.5939022387685108,0.021297216415405273,0.04271960258483887,-0.3093433078607222
3,1.050537109375,-0.7914557417549846,0.02197122573852539,0.06469082832336426,-0.4592010546378885
4,1.07373046875,-0.9855721298407155,0.02385115623474121,0.08854198455810547,-0.5948453438673447
5,1.06884765625,-1.1775879759840666,0.023371219635009766,0.11191320419311523,-0.7317771836415614
6,1.06298828125,-1.368556615350198,0.023415088653564453,0.1353282928466797,-0.8677070835105365
7,1.059326171875,-1.5737242419629098,0.023369312286376953,0.15869760513305664,-1.014029765224134
8,1.07861328125,-1.768025335027381,0.023235082626342773,0.18193268775939941,-1.1534031258939617
9,1.0673828125,-1.957124710611664,0.029250144958496094,0.2111828327178955,-1.2611515238663489
10,1.080078125,-2.1499388161785644,0.02121710777282715,0.23239994049072266,-1.412612715491658
11,1.054931640625,-2.3495748378479715,0.021120309829711914,0.25352025032043457,-1.5701514568572166
12,1.06201171875,-2.5481570582805966,0.021163463592529297,0.27468371391296387,-1.726539075519287
13,1.068603515625,-2.739586233204472,0.021100282669067383,0.29578399658203125,-1.8777449289559545
14,1.047119140625,-2.9436089925349576,0.021094083786010742,0.316878080368042,-2.0389455459948342
15,1.068115234375,-3.145479637468778,0.0211334228515625,0.3380115032196045,-2.1981488502834368
16,1.076171875,-3.347350282402599,0.02113819122314453,0.359149694442749,-2.357316241352033
17,1.068115234375,-3.5468364616167296,0.021061182022094727,0.38021087646484375,-2.5151786846888275
18,1.0673828125,-3.7472711342725615,0.021143436431884766,0.4013543128967285,-2.673174660809319
19,1.05908203125,-3.944655908917478,0.021064281463623047,0.42241859436035156,-2.8293511840751697
20,1.08154296875,-4.1325018435947705,0.021113157272338867,0.44353175163269043,-2.9776362338936826
21,1.069091796875,-4.3261649394312744,0.02303028106689453,0.46656203269958496,-3.1177872921706697
22,1.068115234375,-4.516006724795311,0.023589134216308594,0.49015116691589355,-3.2519181054109367
23,1.060302734375,-4.712054396813435,0.023566246032714844,0.5137174129486084,-3.3905681558163407
24,1.066162109375,-4.895413056722525,0.0236051082611084,0.5373225212097168,-3.5200307124522916
25,1.0703125,-5.086974325173214,0.0235593318939209,0.5608818531036377,-3.6555476202273933
26,1.069091796875,-5.276816110537251,0.023635149002075195,0.5845170021057129,-3.7894172969444497
27,1.05908203125,-5.477533960411008,0.023580074310302734,0.6080970764160156,-3.931286972750955
28,1.06298828125,-5.677248843175469,0.0235443115234375,0.6316413879394531,-4.07266215699001
29,1.080322265625,-5.865377374268461,0.023774147033691406,0.6554155349731445,-4.204548088113979
30,1.06689453125,-6.060322690414308,0.023539304733276367,0.6789548397064209,-4.342576319586666
31,1.065185546875,-6.2535548955578255,0.023569107055664062,0.702523946762085,-4.479218609206968
32,1.060302734375,-6.44950325002441,0.023691177368164062,0.726215124130249,-4.617067642922151
33,1.0478515625,-6.646833368181125,0.023417234420776367,0.7496323585510254,-4.757512720402946
34,1.066650390625,-6.844163486337839,0.023841142654418945,0.7734735012054443,-4.895460609490483
35,1.06494140625,-7.032625743277962,0.02355813980102539,0.7970316410064697,-5.028791918422269
36,1.064697265625,-7.22280134318871,0.023604393005371094,0.8206360340118408,-5.163071725199107
37,1.08154296875,-7.421468656901976,0.023583173751831055,0.8442192077636719,-5.303473603676724
38,1.063232421875,-7.618798775058691,0.023639202117919922,0.8678584098815918,-5.442599928085059
39,1.064453125,-7.809205787978025,0.023391008377075195,0.891249418258667,-5.578269590724846
40,1.071044921875,-7.997899366029311,0.02364635467529297,0.91489577293396,-5.711266537218565
41,1.062744140625,-8.192128212411887,0.0235750675201416,0.9384708404541016,-5.8485788667354965
42,1.065673828125,-8.379484887721146,0.023600339889526367,0.9620711803436279,-5.9808909973985
43,1.067138671875,-8.569226591580769,0.023623228073120117,0.985694408416748,-6.114757618895164
44,1.076171875,-8.764843714715843,0.023543119430541992,1.00923752784729,-6.253239071839546
45,1.0712890625,-8.948535873817972,0.023595094680786133,1.0328326225280762,-6.382992142401647
46,1.058837890625,-9.14543243888166,0.023649215698242188,1.0564818382263184,-6.521754013391391
47,1.066162109375,-9.341049562016734,0.023601293563842773,1.0800831317901611,-6.659894127481549
48,1.06103515625,-9.543381152255419,0.023618221282958984,1.1037013530731201,-6.802673430386881
49,1.074951171875,-9.734228402000962,0.023563146591186523,1.1272644996643066,-6.937663359828172
50,1.064697265625,-9.732478028026053,0.023578166961669922,1.1508426666259766,-6.936426075367965
51,1.066162109375,-9.722186646979857,0.023556232452392578,1.1743988990783691,-6.929144647075761
52,1.068115234375,-9.72091316275348,0.02508711814880371,1.1994860172271729,-6.928298605813453
53,1.072509765625,-9.717257176632739,0.023656129837036133,1.223142147064209,-6.925722820914059
54,1.05224609375,-9.711834366598293,0.02356433868408203,1.246706485748291,-6.921887357146013
55,1.052978515625,-9.714995476520125,0.023576021194458008,1.270282506942749,-6.924122049969255
56,1.06640625,-9.713154407546519,0.02357316017150879,1.2938556671142578,-6.9228203796513945
57,1.068115234375,-9.710990435452212,0.023528337478637695,1.3173840045928955,-6.921287496097487
58,1.070068359375,-9.705816912780264,0.02355813980102539,1.340942144393921,-6.917627386318274
59,1.0732421875,-9.709509540391963,0.023616313934326172,1.364558458328247,-6.920233372743567
60,1.07275390625,-9.714929213483687,0.023568153381347656,1.3881266117095947,-6.9240659973620735
