,time_list,pressure_list,temperature_list,altitude_list,z_velocity_list,x_list,y_list,z_list,sr_list,mpu_status,bme_status
0,0.1424393653869629,1014.4766377867209,30.92601134456345,84.07342028888591,0.0,0.066650390625,0.952880859375,0.238037109375,0.0,True,True
1,0.16654634475708008,1014.4489644900879,30.92601134456345,84.06089392169986,-0.008660263205478393,0.10107421875,0.93896484375,0.16650390625,0.024106979370117188,True,True
2,0.1908102035522461,1014.3821823600256,30.93602966420003,84.06016061335971,-0.009163967326585282,0.103759765625,0.935546875,0.211181640625,0.024263858795166016,True,True
3,0.21525311470031738,1014.4652034601826,30.93602966420003,84.04483511596774,-0.019613825569145298,0.145263671875,0.964599609375,0.230224609375,0.02444291114807129,True,True
4,0.23949217796325684,1014.398420081441,30.946047985000767,84.04130296595049,-0.02204251542054628,0.052978515625,0.949951171875,0.206787109375,0.024239063262939453,True,True
5,0.2636570930480957,1014.4618876975635,30.951057145837694,84.0266426200456,-0.03215383166382448,0.0869140625,0.947265625,0.158935546875,0.024164915084838867,True,True
6,0.28763914108276367,1014.5139209317038,30.966084630094702,84.00291883134435,-0.048641017319643993,0.145751953125,0.966064453125,0.112060546875,0.02398204803466797,True,True
7,0.31177616119384766,1014.4781264540895,30.96107546838466,83.98545912615666,-0.06069698301558647,0.097900390625,0.92626953125,0.22265625,0.024137020111083984,True,True
8,0.33603835105895996,1014.4032208065441,30.966084630094702,83.98119365228413,-0.06362710727905714,0.063232421875,0.991455078125,0.203857421875,0.024262189865112305,True,True
9,0.36031532287597656,1014.391782937366,30.976102954387898,83.97899414279935,-0.06513711815229732,0.124267578125,0.9404296875,0.157470703125,0.0242769718170166,True,True
10,0.3847012519836426,1014.4471338067847,30.976102954387898,83.96706456707847,-0.0732904372707491,0.09765625,0.97998046875,0.28955078125,0.024385929107666016,True,True
11,0.41552209854125977,1014.4666900381249,30.97109379209578,83.95166992726895,-0.08161523554255913,0.0888671875,0.96923828125,0.212890625,0.030820846557617188,True,True
12,0.4521479606628418,1014.5301602758975,30.976102954387898,83.92514640792005,-0.09368481234453421,0.081298828125,0.9755859375,0.2763671875,0.03662586212158203,True,True
13,0.47931504249572754,1014.4194583610764,30.976102954387898,83.91808178826277,-0.09801886859978594,0.07861328125,0.954833984375,0.26171875,0.027167081832885742,True,True
14,0.5066812038421631,1014.3722259005583,30.981112116971055,83.91934806011754,-0.09724767783445572,0.0947265625,0.923828125,0.281982421875,0.027366161346435547,True,True
15,0.5307431221008301,1014.3722259005583,30.981112116971055,83.9206143319723,-0.09637058521508116,0.205078125,0.9091796875,0.34716796875,0.024061918258666992,True,True
16,0.5551979541778564,1014.388462700462,30.99113044301048,83.9190815253518,-0.0974152367149531,0.025146484375,1.0732421875,0.24267578125,0.024454832077026367,True,True
17,0.579477071762085,1014.435696009082,30.986121279845246,83.90921760981063,-0.10418642976933751,0.12158203125,0.94677734375,0.30615234375,0.024279117584228516,True,True
18,0.6037082672119141,1014.4714909849654,30.99113044301048,83.89308881464609,-0.11528011490339557,0.1162109375,0.95849609375,0.257568359375,0.0242311954498291,True,True
19,0.6278903484344482,1014.4161387732975,30.99113044301048,83.8866905243892,-0.11968991610979075,0.125732421875,0.966552734375,0.267578125,0.02418208122253418,True,True
20,0.6519660949707031,1014.4438148681319,30.99113044301048,83.87542690462054,-0.1274872650252882,0.16015625,0.945068359375,0.287841796875,0.024075746536254883,True,True
21,0.6761369705200195,1014.3965811354558,30.99613960646675,83.8724945024777,-0.12950925917885073,0.1376953125,0.96337890625,0.272705078125,0.024170875549316406,True,True
22,0.700242280960083,1014.4046995938085,31.00114877021406,83.86816246729006,-0.13250447413948216,0.14453125,0.9453125,0.269775390625,0.024105310440063477,True,True
23,0.7246091365814209,1014.3965811354558,30.99613960646675,83.86523006514723,-0.13451020560548252,0.133056640625,0.92822265625,0.28076171875,0.02436685562133789,True,True
24,0.7488751411437988,1014.4323761140615,31.00114877021406,83.85603240009343,-0.14082745561544394,0.113037109375,0.9541015625,0.25048828125,0.02426600456237793,True,True
25,0.7752141952514648,1014.4438148681319,30.99113044301048,83.84476878032477,-0.14795478051393454,0.10986328125,0.985595703125,0.247802734375,0.026339054107666016,True,True
26,0.8040981292724609,1014.4128180755175,31.006157934252407,83.8390370745707,-0.15126210108754848,0.133056640625,1.044677734375,0.265625,0.028883934020996094,True,True
27,0.8318610191345215,1014.4323761140615,31.00114877021406,83.8298394095169,-0.15678365948168707,0.103759765625,1.0283203125,0.219482421875,0.027762889862060547,True,True
28,0.8594532012939453,1014.4323761140615,31.00114877021406,83.8206417444631,-0.16233937873134466,0.068115234375,1.040283203125,0.216064453125,0.027592182159423828,True,True
29,0.8880372047424316,1014.4242574319999,30.99613960646675,83.81284378556879,-0.16688618694196294,0.082763671875,1.03466796875,0.2177734375,0.028584003448486328,True,True
30,0.9158463478088379,1014.4046995938085,31.00114877021406,83.80851175038113,-0.16948247645324238,0.08251953125,1.0166015625,0.22265625,0.02780914306640625,True,True
31,0.9434170722961426,1014.460052656314,31.00114877021406,83.79444860959067,-0.17798372856755815,0.06640625,1.00537109375,0.218017578125,0.027570724487304688,True,True
32,0.9722042083740234,1014.4046995938085,31.00114877021406,83.79011657440302,-0.18049181364645062,0.036376953125,0.976806640625,0.213134765625,0.02878713607788086,True,True
33,0.9996521472930908,1014.4323761140615,31.00114877021406,83.78091890934923,-0.18607672907544406,0.020263671875,0.9560546875,0.2080078125,0.027447938919067383,True,True
