,time_list,altitude_list,z_velocity_list,x_list,y_list,z_list,sr_list,mpu_status,bme_status
0,9.120402097702026,85.14769499743169,0,-0.263671875,0.9150390625,0.018310546875,0,True,True
0,9.179084062576294,85.15679253657505,0.0,-0.188720703125,0.866943359375,0.00244140625,0.0,True,True
1,9.215094089508057,85.16449992434177,0.0035672415080942976,-0.18701171875,0.8828125,0.169677734375,0.036010026931762695,True,True
2,9.839707136154175,85.17145020593229,0.00375269717081325,-0.25439453125,0.937744140625,0.19775390625,0.6246130466461182,True,True
3,9.864976167678833,85.1838382186301,0.011923444755476083,-0.256103515625,0.92578125,0.192626953125,0.025269031524658203,True,True
4,9.89107608795166,85.19483599560209,0.018946312294935153,-0.24072265625,0.93603515625,0.1796875,0.02609992027282715,True,True
5,9.916588068008423,85.20924819636751,0.028361627984109454,-0.240234375,0.9619140625,0.175048828125,0.025511980056762695,True,True
6,9.942797899246216,85.23529532145052,0.04492483083135023,-0.2646484375,0.958984375,0.19482421875,0.02620983123779297,True,True
7,9.973726987838745,85.24692700718138,0.05119276298420787,-0.2763671875,0.91259765625,0.1533203125,0.030929088592529297,True,True
8,10.004426717758179,85.26677866564552,0.06197008823333947,-0.27294921875,0.931884765625,0.14013671875,0.030699729919433594,True,True
9,10.033950805664062,85.26943423289408,0.06346918464180004,-0.255615234375,0.94677734375,0.1396484375,0.02952408790588379,True,True
10,10.063594579696655,85.27689486202048,0.06766378613338485,-0.272705078125,0.924560546875,0.11865234375,0.029643774032592773,True,True
11,10.094935655593872,85.29877158660729,0.0792974670460145,-0.265869140625,0.920654296875,0.12060546875,0.0313410758972168,True,True
12,10.126708507537842,85.3130621922279,0.08679370190600165,-0.241943359375,0.916748046875,0.13916015625,0.03177285194396973,True,True
13,10.15777325630188,85.31635142390397,0.08855842011926654,-0.240478515625,0.897216796875,0.133056640625,0.031064748764038086,True,True
14,10.188985347747803,85.33405740714261,0.09801308037986821,-0.23291015625,0.921875,0.13330078125,0.03121209144592285,True,True
15,10.219810009002686,85.34695765487359,0.10498814904556687,-0.224365234375,0.90087890625,0.129150390625,0.030824661254882812,True,True
16,10.251140117645264,85.35985790260456,0.11185068920788467,-0.24755859375,0.93212890625,0.117919921875,0.031330108642578125,True,True
17,10.283102989196777,85.36517159129613,0.11462145021570401,-0.266357421875,0.9375,0.141357421875,0.03196287155151367,True,True
18,10.31359601020813,85.37048527998769,0.11752576980278803,-0.27392578125,0.944580078125,0.091552734375,0.03049302101135254,True,True
19,10.344250917434692,85.38541057964176,0.12564045735985555,-0.286376953125,0.940185546875,0.117919921875,0.0306549072265625,True,True
20,10.375138759613037,85.39274901712105,0.12960018010822102,-0.294921875,0.92919921875,0.116455078125,0.030887842178344727,True,True
21,10.405877828598022,85.40147796396597,0.13433299903277887,-0.278564453125,0.927001953125,0.10986328125,0.03073906898498535,True,True
22,10.435333728790283,85.41501286502427,0.14199128422632218,-0.262451171875,0.93115234375,0.09716796875,0.029455900192260742,True,True
23,10.46585750579834,85.43335387196827,0.1520058852695011,-0.2548828125,0.928955078125,0.095947265625,0.03052377700805664,True,True
24,10.496740341186523,85.43588643399828,0.15337264342613788,-0.2529296875,0.92578125,0.121826171875,0.030882835388183594,True,True
25,10.528010129928589,85.4370283758966,0.15398129368371008,-0.254150390625,0.933349609375,0.0869140625,0.03126978874206543,True,True
26,10.559202194213867,85.44917284049093,0.16047037184755378,-0.26708984375,0.942626953125,0.115478515625,0.03119206428527832,True,True
27,10.590475082397461,85.4407033406606,0.1559566112483811,-0.2607421875,0.943603515625,0.105712890625,0.03127288818359375,True,True
28,10.621517181396484,85.44665123090734,0.1591500648906523,-0.25244140625,0.93408203125,0.130126953125,0.031042098999023438,True,True
29,10.652634859085083,85.45740522117032,0.16490991537960448,-0.252197265625,0.941650390625,0.119140625,0.031117677688598633,True,True
30,10.684263944625854,85.47499109585996,0.17417663638917164,-0.25244140625,0.9462890625,0.128662109375,0.031629085540771484,True,True
31,10.715595722198486,85.48777042136004,0.18097448747951822,-0.251953125,0.931396484375,0.109375,0.031331777572631836,True,True
32,10.746707677841187,85.48815574401888,0.18118090472913786,-0.246826171875,0.941162109375,0.1181640625,0.031111955642700195,True,True
33,10.77812671661377,85.50435117658735,0.1897719974769098,-0.240478515625,0.926025390625,0.12939453125,0.03141903877258301,True,True
34,10.809342384338379,85.5191561291699,0.19767665650538413,-0.245361328125,0.9306640625,0.107421875,0.031215667724609375,True,True
35,10.84008240699768,85.52434784344786,0.2004915071077496,-0.24267578125,0.94970703125,0.105224609375,0.030740022659301758,True,True
36,10.870895385742188,85.53434610103068,0.20589954077311134,-0.239013671875,0.935546875,0.114501953125,0.030812978744506836,True,True
37,10.900070190429688,85.55395790031642,0.21710315721305487,-0.225830078125,0.932373046875,0.09228515625,0.0291748046875,True,True
38,10.930381059646606,85.56812770297745,0.22489453317108946,-0.222900390625,0.93994140625,0.090087890625,0.030310869216918945,True,True
39,10.96176815032959,85.58154213770959,0.2320176499473621,-0.2216796875,0.922607421875,0.09033203125,0.0313870906829834,True,True
40,11.005260944366455,85.58875917591895,0.2347832568213209,-0.225830078125,0.930419921875,0.074951171875,0.043492794036865234,True,True
41,11.03482985496521,85.5891444985778,0.2350004458953859,-0.232421875,0.9404296875,0.080322265625,0.029568910598754883,True,True
42,11.073242902755737,85.60394945116033,0.2414240239216471,-0.241455078125,0.950927734375,0.082763671875,0.038413047790527344,True,True
43,11.098613739013672,85.59813772442153,0.2376061713554742,-0.23388671875,0.9365234375,0.083984375,0.02537083625793457,True,True
